go	geh
hi	hallo
hi	gru gott
run	lauf
run	lauf
wow	potzdonner
wow	donnerwetter
fire	feuer
help	hilfe
help	zu hulf
stop	stopp
wait	warte
wait	warte
begin	fang an
go on	mach weiter
hello	hallo
hurry	beeil dich
hurry	schnell
i ran	ich rannte
i see	ich verstehe
i see	aha
i try	ich probiere es
i won	ich hab gewonnen
i won	ich habe gewonnen
relax	entspann dich
shoot	feuer
shoot	schie
smile	lacheln
attack	angriff
attack	attacke
cheers	zum wohl
eat it	iss es
eat up	iss auf
freeze	keine bewegung
freeze	stehenbleiben
got it	verstanden
got it	aha
got it	ich habs
got it	kapiert
got it	verstanden
got it	einverstanden
he ran	er rannte
he ran	er lief
hop in	mach mit
hug me	druck mich
hug me	nimm mich in den arm
hug me	umarme mich
i fell	ich fiel
i fell	ich fiel hin
i fell	ich sturzte
i fell	ich bin hingefallen
i fell	ich bin gesturzt
i know	ich wei
i lied	ich habe gelogen
i lost	ich habe verloren
i paid	ich habe bezahlt
i paid	ich zahlte
i sang	ich sang
i swim	ich schwimme
im	ich bin jahre alt
im	ich bin
im ok	mir gehts gut
im ok	es geht mir gut
im up	ich bin wach
im up	ich bin auf
no way	unmoglich
no way	das kommt nicht in frage
no way	das gibts doch nicht
no way	ausgeschlossen
no way	in keinster weise
really	wirklich
really	echt
really	im ernst
thanks	danke
try it	versuchs
we try	wir versuchen es
we won	wir haben gewonnen
why me	warum ich
ask tom	frag tom
ask tom	fragen sie tom
ask tom	fragt tom
awesome	fantastisch
be cool	entspann dich
be fair	sei nicht ungerecht
be fair	sei fair
be kind	sei nett
be nice	sei nett
be nice	seien sie nett
beat it	geh weg
beat it	hau ab
beat it	verschwinde
beat it	verdufte
beat it	mach dich fort
beat it	zieh leine
beat it	mach dich vom acker
beat it	verzieh dich
beat it	verkrumele dich
beat it	troll dich
beat it	zisch ab
beat it	pack dich
beat it	mach ne fliege
beat it	schwirr ab
beat it	mach die sause
beat it	scher dich weg
beat it	scher dich fort
call me	ruf mich an
come in	komm herein
come in	herein
come on	komm
come on	kommt
come on	mach schon
come on	macht schon
come on	komm schon
get tom	hol tom
get out	raus
get out	geht raus
get out	geh raus
get out	geht raus
go away	geh weg
go away	hau ab
go away	verschwinde
go away	verdufte
go away	mach dich fort
go away	zieh leine
go away	mach dich vom acker
go away	verzieh dich
go away	verkrumele dich
go away	troll dich
go away	zisch ab
go away	pack dich
go away	mach ne fliege
go away	schwirr ab
go away	mach die sause
go away	scher dich weg
go away	scher dich fort
go away	geh weg
go away	verpiss dich
go away	hau ab
go away	verschwinde
go away	verdufte
go away	mach dich fort
go away	zieh leine
go away	mach dich vom acker
go away	verzieh dich
go away	verkrumele dich
go away	troll dich
go away	zisch ab
go away	pack dich
go away	mach ne fliege
go away	schwirr ab
go away	mach die sause
go away	scher dich weg
go away	scher dich fort
go away	gehen sie weg
go home	geh nach hause
go home	geh heim
goodbye	auf wiedersehen
goodbye	leb wohl
goodbye	tschuss
hang on	nicht nachlassen
hang on	warte
he came	er kam
he quit	er hat gekundigt
he runs	er rennt
he runs	er lauft
help me	hilf mir
help us	hilf uns
help us	helft uns
help us	helfen sie uns
hi tom	hallo tom
hit tom	schlage tom
hit tom	schlagt tom
hit tom	schlagen sie tom
hold it	nicht bewegen
hold it	warte
hold on	warten sie kurz
hug tom	umarme tom
hug tom	umarmen sie tom
hug tom	umarmt tom
hug tom	druckt tom
hug tom	drucken sie tom
hug tom	druck tom
i agree	ich bin einverstanden
i cried	ich weinte
i cried	ich habe geweint
i snore	ich schnarche
ill go	ich gehe
im bad	ich bin schlecht
im fat	ich bin fett
im fat	ich bin dick
im hit	ich wurde getroffen
im mad	ich bin verruckt
im new	ich bin neu
im old	ich bin alt
im sad	ich bin traurig
im shy	ich bin schuchtern
im wet	ich bin nass
its ok	es ist in ordnung
its me	ich bins
its me	ich bins
join us	komm mit
join us	kommt mit
keep it	behalt es
keep it	behalt ihn
keep it	behalt sie
keep it	behalten sie ihn
keep it	behalten sie sie
keep it	behalten sie es
keep it	behaltet ihn
keep it	behaltet sie
keep it	behaltet es
kiss me	kusst mich
lock it	schlie es ab
lock it	schliee sie ab
lock it	schlie ihn ab
open up	mach auf
perfect	perfekt
pull it	zieh dran
push it	druck drauf
see you	tschuss
see you	wir sehen uns
show me	zeigs mir
shut up	halts maul
so long	bis spater
stop it	hor auf
take it	nimm es
take it	nehmt es
take it	nehmen sie es
tell me	sag es mir
tell me	erzahls mir
tom ate	tom a
tom ate	tom hat gegessen
tom ran	tom rannte
tom ran	tom ist gerannt
tom won	tom hat gewonnen
wait up	warte mal
wait up	warten sie mal
wait up	wartet mal
wake up	wach auf
wake up	wachen sie auf
wake up	wach auf
wake up	wachen sie auf
wash up	wasch dir die hande
wash up	wasch dir das gesicht
we lost	wir haben verloren
welcome	willkommen
who ate	wer hat gegessen
who ate	wer a
who ran	wer rannte
who ran	wer ist gerannt
who won	wer hat gewonnen
you run	du laufst
you run	sie laufen
you won	du hast gewonnen
am i fat	bin ich dick
ask them	frag sie
back off	komm nicht naher
be a man	sei ein mann
be brave	sei tapfer
be brave	seien sie tapfer
be brave	seid tapfer
be brief	fassen sie sich kurz
be brief	fass dich kurz
be brief	fasst euch kurz
be still	sei ruhig
call tom	ruf tom an
call tom	rufe tom an
call tom	rufen sie tom an
call tom	ruft tom an
can i go	kann ich gehen
cheer up	kopf hoch
cool off	reg dich ab
cuff him	leg ihm handschellen an
cuff him	legen sie ihm handschellen an
dont go	geh nicht
drive on	fahr weiter
find tom	finde tom
find tom	findet tom
find tom	finden sie tom
fix this	beheben sie das
fix this	behebe das
fix this	repariere das
fix this	reparieren sie das
get away	geh weg
get away	verpiss dich
get away	hau ab
get away	verschwinde
get away	verdufte
get away	mach dich fort
get away	zieh leine
get away	mach dich vom acker
get away	verzieh dich
get away	verkrumele dich
get away	troll dich
get away	zisch ab
get away	pack dich
get away	mach ne fliege
get away	schwirr ab
get away	mach die sause
get away	scher dich weg
get away	scher dich fort
get down	runter
get down	hinlegen
get down	in deckung
get down	komm runter
get down	kommen sie runter
get lost	geh weg
get lost	verpiss dich
get lost	hau ab
get lost	verschwinde
get lost	verdufte
get lost	mach dich fort
get lost	zieh leine
get lost	mach dich vom acker
get lost	verzieh dich
get lost	verkrumele dich
get lost	troll dich
get lost	zisch ab
get lost	pack dich
get lost	mach ne fliege
get lost	schwirr ab
get lost	mach die sause
get lost	scher dich weg
get lost	scher dich fort
get real	jetzt mal ernsthaft
go ahead	nur zu
go ahead	mach weiter
grab tom	hol tom
grab him	greif ihn dir
have fun	viel vergnugen
have fun	viel spa
have fun	feier schon
he spoke	er sprach
he tries	er versucht es
help tom	hilf tom
help tom	helft tom
help tom	helfen sie tom
how cute	was ist das nicht su
how cute	wie su
how deep	wie tief
how nice	wie schon
humor me	tu mir den gefallen
humor me	tun sie mir den gefallen
hurry up	beeil dich
hurry up	beeil dich
hurry up	mach hin
i can go	ich kann gehen
i did it	ich habe es geschafft
i did it	ich habs gemacht
i get by	ich komme klar
i get by	ich komme zurecht
i get by	ich komme uber die runden
i get it	ich verstehe
i got it	ich habe es verstanden
i got it	ich habe es bekommen
i got it	ich habs
i helped	ich half
i helped	ich habe geholfen
i jumped	ich bin gesprungen
i nodded	ich nickte
